,Game,Platform,Content_Descriptor,Interactive_Elements,Ratings_Summary
185,Pathfinder: Wrath of the Righteous,"PlayStation 4, Xbox One","Blood and Gore,Sexual Themes,Strong Language,Violence",No Interactive Elements,"This is a role-playing game in which players lead adventurers on a quest to stop demons from invading a kingdom. From a 3/4-overhead perspective, players explore the land to gain allies and engage in turn-based combat against human enemies and fantastical creatures (e.g., demons, minotaur, wizards). Players use swords, axes, daggers, and magic attacks to kill enemies in frenetic combat. Some weapon attacks can result in dismemberment and decapitation, with large blood-splatter effects. The game contains some suggestive/sexual material in the dialogue (e.g., “I want to gouge out your eyes and f**k your eyeholes”; “...I need sex. I won't sleep tonight without a man…”; “Now we're going to engage in the act of copulation exclusively for the sake of carnal pleasure.” The words “f**k” and “sh*t” appear in the game."
186,Outbreak Collection Part 1,Nintendo Switch,"Blood,Violence",No Interactive Elements,"This is a collection of three survival-horror games in which players assume the roles of survivors amid a zombie outbreak. Players explore buildings while solving puzzles, searching for supplies, and battling zombies and mutants. Players use pistols, machine guns, shotguns, and bladed weapons to kill enemies. Battles are accompanied by realistic gunfire, large explosions, and frequent blood-splatter effects. Some areas depict large bloodstains in the environment."
187,Card Shark,Nintendo Switch,"Language,Mild Violence,Simulated Gambling,Suggestive Themes,Use of Alcohol and Tobacco",No Interactive Elements,"This is a narrative adventure game in which players assume the role of a boy traveling with a nobleman and con artists to swindle nobles in 18th-century France. As players progress through the narrative, they can interact with characters and learn various card-manipulation techniques (e.g., false shuffles, deck switching, false deals); players sometimes place bets on card games while using the manipulation techniques. Some interactions lead to instances of violence: a woman shot; a man impaled. The game contains brief suggestive references in the dialogue (e.g., “Meaning the experiment quickly turned into a never-ending orgy”; “You will probably die soon, on the gallows or of the pox”/“That will depend on whether I embrace your principles or your mistress.”). During the course of the game, players can repeatedly refill a character's glass with wine; one character is shown smoking a pipe. The word “a*s” appears in the game."
188,Outbreak Collection Part 2,Nintendo Switch,"Blood,Strong Language,Violence",No Interactive Elements,"This is a collection of two survival horror games in which players search for survivors while battling zombies during a viral outbreak. From a third-person perspective, players explore locations, locate survivors, and use weapons (e.g., pistols, machine guns, shotguns, knives) to fight off attacking zombies. Fighting is highlighted by gunfire, explosions, and cries of pain. Large blood-splatter effects occur during battle; large blood stains are depicted on the ground. The words “f**k” and “sh*t” appear in the game."
189,Embers of Mirrim,"PlayStation 4, Nintendo Switch",Mild Fantasy Violence,No Interactive Elements,No Rating Summary
190,Hidden Through Time: Definite Edition,"PlayStation 4, Nintendo Switch","Alcohol Reference,Mild Language",No Interactive Elements,"This is a hidden-object game in which players are tasked with finding specific items amid historical scenes. A handful of locations depict mugs of amber liquid, and one clue also references alcohol (e.g., “I don't know if I'm drunk or not...""). The word “damn” appears in game text."
191,Ooblets,Nintendo Switch,No Descriptors,No Interactive Elements,"This is an adventure game in which players explore, farm, and explore their new home in and around Badgetown. Players can also engage in mini-games (e.g., farming tasks, dance battles) while collecting creatures called Ooblets."
192,Blade Assault,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Fantasy Violence,Language,Use of Tobacco",No Interactive Elements,"This is an action platformer in which players assume the role of a resistance fighter battling corrupt military forces in the future. Players traverse 2D side-scrolling environments while battling various enemies (e.g., soldiers, robots, mutant creatures). Players use laser swords, hammers, and blasters against enemies in frenetic melee-style combat.  Battles are highlighted by gunfire, explosions, and screen-shaking effects. The game depicts recurring characters smoking cigarettes and/or cigars. The word “sh*t” appears in the game."
193,Monster Train First Class,Nintendo Switch,"Alcohol Reference,Fantasy Violence,Mild Language",No Interactive Elements,No Rating Summary
194,The Pathless,Nintendo Switch,Fantasy Violence,No Interactive Elements,"This is an action/adventure game in which players assume the role of a master archer trying to dispel a dark curse. As players explore a mysterious island, they forge a bond with an eagle companion, traverse landscapes, solve puzzles, and engage in a handful of boss battles with fantasy creatures (e.g., cursed animal spirits, hydra-like monsters). Boss battles can be frenetic, with players shooting arrows, and enemies spewing fireballs, energy blasts, and lava. Combat is highlighted by impact sounds, cries of pain, and screen-shaking effects."
195,They Bleed Pixels,Nintendo Switch,"Blood and Gore,Violence",No Interactive Elements,No Rating Summary
196,The American Dream,PlayStation 4,"Blood,Sexual Themes,Strong Language,Use of Alcohol,Violence",No Interactive Elements,No Rating Summary
197,Broforce,"PlayStation 4, Nintendo Switch","Blood and Gore,Mild Language,Use of Tobacco,Violence",No Interactive Elements,No Rating Summary
198,Train Life - A Railway Simulator,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is a simulation game in which players control the operations of realistic trains. As players travel between stations, they can pick up and deliver various forms of cargo."
199,Pentiment,"Windows PC, Xbox One, Xbox Series","Blood and Gore,Sexual Themes,Strong Language,Violence",No Interactive Elements,"This is a narrative-adventure game in which players assume the role of an illustrator (Andreas) who must uncover the truth behind a series of murders. As players explore a medieval abbey in Germany, they can make dialogue choices that influence the outcome of the narrative. Some choices lead to instances of violence and/or gore: a man using a rifle to shoot villagers; characters decapitated by an executioner; characters strangled to death; a man slicing a deer's throat—these sequences are often accompanied by blood stains/effects. The game contains some sexual material in the dialogue (e.g., “Well, there is a sore on his sex. Probably from the French disease...visiting brothels in Naples”; “Sex and death are common companions…”; “Besides sex isn't all that rare inside the abbey”; “...[T]he baron tried to seduce [her]. He dragged her into the woods…she had been beaten so badly she could hardly move.”). The words “f**k,” “sh*t,” and “a*shole” appear in the game."
200,Deliver Us Mars,Windows PC,"Mild Blood,Violence",No Interactive Elements,"This is an action-adventure game in which players assume the roles of astronauts investigating a lost colony on Mars. From first- and third-person perspectives, players explore spacecrafts and colonies, solve puzzles, and avoid hazards (e.g., electrical bursts). As players progress, they can unlock journal entries depicting holographic images of violence/peril: colonists suffocating to death; characters sucked into space as a result of a terrorist attack. One sequence depicts an exploding space craft, with a woman left on board. Some scenes depict human corpses scattered across facilities, including a man with blood on his face."
201,Autonauts,"PlayStation 4, Nintendo Switch",No Descriptors,No Interactive Elements,"This is a strategy game in which players help establish a colony on a new planet. Players use robots to harvest resources, build structures, and craft objects to expand the colony."
202,Labyrinth of Zangetsu,"PlayStation 4, Nintendo Switch","Animated Blood,Fantasy Violence,Mild Language",No Interactive Elements,"This is an action-adventure game in which players lead characters on a quest to stop a blight across ancient Japan. Players explore dungeon-like environments and battle stylized creatures (e.g., demons, ink-stained creatures, shadows) in turn-based combat. Players choose actions from a menu (e.g., attack, parry, magic) to battle enemies; attacks are accompanied by sword slashes and screen-shaking effects. Characters sometimes emit splashes of black liquid/ink when hit; one hand-drawn sequence depicts black splatters around bodies, and a hand smeared with black liquid. The word “damn” appears in the game."
203,Azure Striker GUNVOLT 3,Nintendo Switch,"Fantasy Violence,Mild Blood,Mild Language,Suggestive Themes",No Interactive Elements,"This is an action-platformer in which players assume the role of a super-powered figure trying to control a threat and defeat a villain. From a side-scrolling perspective, players traverse platforms and engage in fast-paced combat against enemy soldiers and boss characters. Players can also send a dragon character to engage in melee combat. Battles are highlighted by cries of pain, light effects, and explosions. One still image depicts a character impaled by a sword; another image depicts the wounded character with blood on his mouth. Some female characters are designed with revealing outfits (e.g., deep cleavage); the dialogue contains some references to suggestive material (e.g., “sex-obsessed harlot”; “Ugh, pervert”; “…I actually caught a peek as she was changing clothes the other day…”; “Why don't the two of you come with me and we can make some real love?” The words “a*s” and “bastard” appear in dialogue."
204,What Remains of Edith Finch,"PlayStation 5, Xbox Series","Blood,Drug Reference,Language,Violence",No Interactive Elements,No Rating Summary
205,35MM,PlayStation 4,"Blood and Gore,Strong Language,Violence",No Interactive Elements,No Rating Summary
206,Bratz: Flaunt Your Fashion,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is an adventure game in which players help Bratz characters grow their fanbase as they explore different cites (e.g.,  Seoul, Barcelona). Players engage in photo shoots and earn followers by completing various activities (e.g., skating, yoga, beachside events)."
207,Amnesia: Memories,Nintendo Switch,"Blood,Language,Sexual Themes,Use of Alcohol,Violence",No Interactive Elements,"This is a visual novel in which players follow the story of an amnesiac trying to hide her memory loss while navigating relationships with men. As players follow events between five different paths/worlds, they make various choices, attempting to reach good outcomes. One scene depicts a character with a bloodstained knife protruding from his chest; blood is also seen on his face and clothing. Some still-screen images depict characters (fully clothed) embracing, kissing, and/or restraining players' character, sometimes with suggestive dialogue (e.g., “I'll show you a good time...How does 20,000 yen sound”; “If you don't resist, I won't know when to stop”; “I won't do anything...If you really can't trust me, I'll bring something for you to tie up my hands”; “Is 2 guys at once alright?”). During two prolonged sequences, a main character is depicted drunk (e.g., ""I think this guy's had just a little too much to drink""; ""I'm still a little drunk""; ""You're drinking more alcohol? You're still drinking?"").  The word “sh*t” appears in game text."
208,Aztech Forgotten Gods,"PlayStation 5, Nintendo Switch","Language,Mild Blood,Violence",No Interactive Elements,No Rating Summary
209,Raji: An Ancient Epic,Nintendo Switch,"Fantasy Violence,Suggestive Themes",No Interactive Elements,No Rating Summary
210,Vegas Party,"PlayStation 4, Nintendo Switch",Simulated Gambling,No Interactive Elements,No Rating Summary
211,Serious Sam: Siberian Mayhem,PlayStation 5,"Blood and Gore,Intense Violence,Strong Language,Suggestive Themes",No Interactive Elements,"This is a first-person shooter in which players assume the role of Serious Sam as he battles alien forces in Siberia. Players use machine guns, shotguns, and rocket launchers to kill alien creatures and mutated humans in frenetic combat. Combat is accompanied by realistic gunfire, large explosions, and screams of pain. Large blood-splatter effects frequently appear as enemies are shot and killed. Some weapon attacks cause enemies to explode into large chunks of flesh that remain on the battlefield. One female creature is depicted with exposed breasts covered with pasties. The words “f**k” and “sh*t” are heard in the game."
212,Yomawari: Lost in the Dark,"Windows PC, PlayStation 4, Nintendo Switch","Blood,Violence",No Interactive Elements,"This is a horror-adventure game in which players assume the role of a girl trying to restore her memories. From an overhead perspective, players explore a forest and town, collect various items, and avoid/hide from monsters and spirits. Some sequences contain dark thematic elements (e.g., implied suicide, references to animal killings) and depictions of violence: a girl run down by an invisible train; a girl attacked and killed by a ghost. Stylized blood-splatter effects occur when players' character is killed; some areas also depict blood-splattered walls and floors."
213,FROGUN,"PlayStation 4, PlayStation 5, Nintendo Switch","Mild Fantasy Violence,Mild Language",No Interactive Elements,"This is a 3D platformer game in which players control an explorer trying to rescue her parents from temple ruins. As players traverse platforms, they collect coins, avoid hazards (e.g., spikes, pitfalls), and battle cartoony enemies (e.g., bats, bugs, rats, slugs). Players can defeat enemies by jumping on their heads or by using a frog gun to grab and throw them at one another. The word “hell” appears in the text."
214,Into the Breach,Nintendo Switch,"Animated Blood,Fantasy Violence,Language",No Interactive Elements,"This is a strategy game in which players control mechs and cannons in turn-based battles against alien bugs. From a pulled-back perspective, players position mechs and mobile weapons around a grid and take turns launching attacks against aliens. Mission objectives sometimes list the minimum number of enemies that must be killed. Battles are highlighted by explosions and small green splashes that briefly appear when aliens are defeated. The words “a*s” and “bastard” appear in game text."
215,STELLATUM,PlayStation 5,Mild Fantasy Violence,No Interactive Elements,No Rating Summary
216,Undead Darlings ~no cure for love~,"PlayStation 4, Nintendo Switch","Alcohol and Tobacco Reference,Blood,Fantasy Violence,Language,Sexual Themes",No Interactive Elements,No Rating Summary
217,Cat Girl Without Salad: Amuse-Bouche,Nintendo Switch,Fantasy Violence,No Interactive Elements,No Rating Summary
218,Metaloid: Origin,"PlayStation 4, Nintendo Switch",Fantasy Violence,No Interactive Elements,No Rating Summary
219,Eyes in the Dark,Windows PC,Fantasy Violence,No Interactive Elements,"This is a platformer game in which players help a girl rescue her missing grandfather inside a mysterious mansion. Players explore 2D platform levels while using a flashlight to clear away the darkness and combat shadowy creatures (e.g., blobs, insects, spiders). Battles are somewhat frenetic, with creatures crying out and disappearing in brief flashes. Some boss encounters depict screen-shaking effects and cries of pain."
220,Virtuaverse,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood,Drug Reference,Partial Nudity,Sexual Themes,Strong Language,Violence",No Interactive Elements,No Rating Summary
221,Harvestella,"Windows PC, Nintendo Switch","Fantasy Violence,Language,Use of Alcohol",No Interactive Elements,"This is a role-playing game in which players follow an amnesiac while developing farmland, completing quests, and forming relationships. From a third-person perspective, players interact with characters, explore dungeons, and engage in melee combat with enemies (e.g., knights, demons, large monsters). Players use swords, rifles, and magic spells/skills to deplete enemies' health meters; battles are highlighted by dwindling hit points, impact sounds, explosions, and occasional gunfire. A handful of cutscenes depict characters shot while on the ground. Some sequences depict characters drinking alcohol and/or hiccupping as if drunk. The word “a*shole” appears in the dialogue."
222,World to the West,Nintendo Switch,Fantasy Violence,No Interactive Elements,No Rating Summary
223,PowerSlave Exhumed,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Blood and Gore,Suggestive Themes,Violence",No Interactive Elements,No Rating Summary
224,Mighty Goose,"PlayStation 4, PlayStation 5, Nintendo Switch","Alcohol Reference,Animated Blood,Fantasy Violence",No Interactive Elements,No Rating Summary
225,KLONOA Phantasy Reverie Series,Windows PC,"Mild Fantasy Violence,Mild Language,Mild Suggestive Themes,Use of Tobacco",No Interactive Elements,"This is a collection of two platformer games in which players assume the role of a rabbit-like creature (Klonoa) trying to save fantasy worlds from peril. Players traverse platforms, collect coins and power-up items, and engage in occasional battles with whimsical enemies. Players use a magical ring to zap enemies; players also avoid being jumped on or getting hit by rocks. Boss battles contain more frenetic gameplay, with laser fire and small explosions. In one scene, Klonoa briefly shakes a cat character to make it drop a special item; the cat responds with mildly suggestive innuendo (e.g., ""Watch where you're grabbing, you perv!"").  One character is depicted with a tobacco pipe in his mouth. The word “damn” appears in the dialogue."
226,Rune Factory 5,Windows PC,"Fantasy Violence,Mild Language,Mild Suggestive Themes,Use of Alcohol",No Interactive Elements,"This is a role-playing game in which players assume the role of an amnesiac fighter helping to defend a town from monsters. Players explore the town, interact with characters, complete missions/activities (e.g., farming, cooking), and battle various monsters (e.g., large insects, goblins, fairies, orcs). Characters use swords, hammers, and magic attacks to defeat enemies in melee combat; battles are highlighted by impact sounds, screen-shaking effects, and diminishing health bars. Some female characters are designed with low-cut tops that reveal deep cleavage; the dialogue contains some mild innuendo (e.g., “I've already gone on so many [dates] with you in my head, where we did all kinds of sweet and spicy things…”; ""...[F]eel free to pound on me all you want""; “You're trying to get me all hot and bothered...Not that I mind a bit of public humiliation.”). During the course of the game, players can obtain and give bottles of wine as gifts, causing some recipients to fall asleep after consumption. The words “bastard” and “dumba*s” appear in the game."
227,Power Wash Simulator,"Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is a simulation game in which players manage a cleaning business that washes vehicles and buildings. Players can customize their washers, nozzles, and cleaners, adjusting the pressure and range of the water spray."
228,Stray,"Windows PC, PlayStation 4, PlayStation 5","Animated Blood,Fantasy Violence",No Interactive Elements,"This is an adventure game in which players assume the role of a stray cat trying to escape a mysterious city. From a third-person perspective, players traverse alleyways, rooftops, and rooms while solving puzzles and interacting with robotic inhabitants. Players sometimes encounter parasitic blobs/mice-like bots that can attack and kill the cat. Players can access a UV light to defeat the mice-like bots, causing them to explode and emit splashes of colored liquid."
229,WITCH ON THE HOLY NIGHT,"PlayStation 4, Nintendo Switch","Blood,Language,Violence",No Interactive Elements,"This is a visual novel in which players follow the story of two students battling evil forces while managing their everyday lives. During the course of the game/story, characters engage in battles largely conveyed through text and still images: a silhouetted character cut in half; a still image of a character's arm shattering into blood; a silhouette of a headless corpse; a character with bloody wounds after a werewolf attack. Some of these sequences are highlighted by impact sounds, squelching/squirting sound effects, and cries of pain/pained breathing. The words “sh*t” and “a*shole” appear in the game."
230,Relic Hunters Zero: Remix,Nintendo Switch,"Alcohol Reference,Fantasy Violence,Mild Blood",No Interactive Elements,No Rating Summary
231,Death Tales,"PlayStation 4, PlayStation 5","Fantasy Violence,Mild Blood,Use of Tobacco",No Interactive Elements,No Rating Summary
232,Instant Sports All-Stars,"PlayStation 5, Nintendo Switch","Alcohol Reference,Mild Cartoon Violence",No Interactive Elements,"This is a sports simulation game in which players can compete against others in a variety of whimsical sporting events. Games include cactus bowling, hockey with an oversized puck, slingshot target shooting, and basketball hoops. In a football-themed running game, players can use a boxing-glove power-up to strike characters; in a target shooting game, players can shoot at balloons that have smiling faces on them. A baseball-themed mini-game depicts whiskey bottles as targets; a whiskey bottle is also depicted on a table."
233,NieR:Automata The End of YoRHa Edition,Nintendo Switch,"Blood,Partial Nudity,Strong Language,Violence",No Interactive Elements,"This is an action game in which players assume the roles of androids fighting to save Earth from an army of extraterrestrials. From a third-person perspective, players use swords, spears, lances, and turret-like drones to battle enemy robots in frenetic melee-style combat. Fighting is highlighted by frequent explosions, gunfire, and screen-shaking effects. Some cutscenes depict human-like characters impaled through the chest or head by swords, resulting in large blood-splatter effects; one such scene depicts a character repeatedly stabbing another n the chest. During the course of the game, a male character is depicted nude, with exposed buttocks (no genitalia). The words “f**k” and “sh*t” appear in the dialogue."
234,A Monster's Expedition + Earlier Adventures,Nintendo Switch,Alcohol Reference,No Interactive Elements,"This is a collection of four puzzle-adventure games in which players can engage in various activities. Activities can include building snowmen, exploring a museum, moving atoms to create chemical bonds, and drawing train tracks to bring aliens to a destination. One game in the collection briefly references red wine stains."
235,Day of the Tentacle Remastered,"PlayStation 4, Xbox One","Fantasy Violence,Mild Blood,Mild Language,Mild Suggestive Themes,Use of Tobacco",No Interactive Elements,No Rating Summary
236,Demon Pit,PlayStation 4,"Blood and Gore,Violence",No Interactive Elements,No Rating Summary
237,Doctor Who: The Edge of Reality,"PlayStation 4, Nintendo Switch, Xbox One","Fantasy Violence,Mild Language",No Interactive Elements,"This is a story-driven adventure game in which players are recruited to help the Doctor stop a virus that threatens humanity. From a first-person perspective, players solve puzzles, time-travel, and use a sonic screwdriver to activate devices/doors. In some dramatic sequences, players must avoid enemies (e.g., aliens, cyber men, statues) via stealth or running away. Player can sometimes shoot lasers or bursts of energy at enemies and/or objects; if players are detected during stealth tasks, enemies can briefly zap them with electricity or lasers/bursts of energy."
238,Doctor Who: The Lonely Assassins,"PlayStation 4, Nintendo Switch, Xbox One","Alcohol Reference,Mild Language,Mild Violence",No Interactive Elements,"This is an adventure game, set in the Doctor Who universe, in which players search for answers surrounding a lost cell phone. Players uncover the storyline as they text with characters, watch video clips, fight viruses, and solve puzzles. Some video clips contain menacing voices and/or images of statue-like figures lunging towards the screen. Character deaths are implied in dialogue, though no violent acts are fully depicted (i.e., characters crawl away from off-screen/unseen threats). Beer is briefly referenced in the text as well as depicted in a photo. The word “damn” appears in game text."
239,Endling - Extinction is forever,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Blood,Fantasy Violence",No Interactive Elements,"This an adventure game in which players help a fox track down her missing cub in a post-apocalyptic world. Players traverse side-scrolling environments (e.g., forests, human settlements, factories) to hunt for prey while avoiding traps, human hunters, and guard dogs. Hunters can shoot the fox, while guard dogs can bite/kill it. Background environments depict additional acts of violence and blood: a corpse with a bloody ax impaled in its chest; a man holding a dead child in his arms; a processing factory depicting chics/chickens killed in an assembly-line process (e.g., a pile of bloody animal parts can be seen, as well as blood on the ground)."
240,Full Throttle Remastered,"PlayStation 4, Xbox One","Blood,Language,Mild Violence,Use of Alcohol and Tobacco",No Interactive Elements,No Rating Summary
241,My Universe - Green Adventure : Farmer Friends,Nintendo Switch,No Descriptors,No Interactive Elements,"This is a farming simulation game in which players inherit an abandoned farm. Players manage the farm by growing crops, tending to farm animals, and selling goods."
242,Tetris Effect: Connected,"PlayStation 4, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is a puzzle game in which players rotate and arrange falling blocks into rows. Players can engage in a variety of game modes (e.g., Marathon, Sprint, Ultra) and select from over 30 different stages/backgrounds/themes."
243,PAC-MAN WORLD Re-PAC,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",Mild Cartoon Violence,No Interactive Elements,"This is platformer game in which players assume the role of Pac-man on a quest to rescue his friends. As players traverse 3D platform environments, they can collect items (e.g., dots, fruits), use a dash and bounce attack to defeat skeletons, and collect power pellets to eat ghosts. Enemies generally disappear in a puff of smoke when defeated. In some sequences, players can pilot a spacecraft to shoot down enemy ships in arcade-style fashion."
244,RPGolf Legends,"PlayStation 4, PlayStation 5, Nintendo Switch","Alcohol Reference,Mild Fantasy Violence",No Interactive Elements,No Rating Summary
245,Space Warlord Organ Trading Simulator,Nintendo Switch,"Language,Mild Blood,Use of Tobacco",No Interactive Elements,"This is simulation/strategy game in which players assume the role of a galactic organ trader. Players meet customers' requests and monitor market trends, buying selling, and trading organs for profit. The game includes frequent depictions of pixelated organs. One character is depicted with a cigar in his mouth and can be selected as players' in-game avatar. The word “sh*t” appears in the game."
246,Tales from the Borderlands,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore,Drug Reference,Sexual Themes,Strong Language,Violence",No Interactive Elements,"This is an adventure game in which players assume the roles of characters on a dangerous quest on the alien planet of Pandora. As players progress through the storyline, they are presented with various dialogue and action choices. Some selections can result in acts of violence and/or depictions of gore: a man shot in the chest; an enemy bit in half by a creature; a woman decapitated by a grenade; a character's heart punched through his chest. Large blood-splatter effects occur when characters are injured/killed. The game includes some sexual material in the dialogue (e.g., “I always thought I'd drink or sex myself to death...”; ""planetary and sexual conquests""; “'the sex my girlfriend and I had'...""; “Perhaps while you're sleeping ... getting laid...”). Drugs are occasionally referenced in dialogue (e.g., “We're basically drug dealers” and “but it'll feel like a primo hit of electri-drugs to me ""). The words “f**k,” “sh*t,” and “c*ck” are also heard in dialogue."
247,Life in Willowdale: Farm Adventures,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch",Mild Fantasy Violence,No Interactive Elements,"This an adventure role-playing game in which players help a man restore his family's farm. From an over-head perspective, players grow crops, tend livestock, explore locations, and occasionally battle small creatures (e.g., insects, penguins, mummified chickens). Players use a wooden sword to attack creatures, causing them to collapse and disappear; action is highlighted by sword-slashing and impact sounds."
248,HORROR TALES: The Wine,"PlayStation 4, PlayStation 5, Nintendo Switch","Alcohol Reference,Blood,Violence",No Interactive Elements,No Rating Summary
249,Spidersaurs,"PlayStation 4, PlayStation 5, Nintendo Switch","Animated Blood,Fantasy Violence,Mild Suggestive Themes",No Interactive Elements,"This is an action-adventure game in which players help two characters battle bio-engineered dinosaurs and spider hybrids. Players traverse 2D side-scrolling levels while using blasters (e.g., rapid shots, spread shots) to shoot at creatures in frenetic combat. Battles are accompanied by blaster effects, cries of pain, and mild explosions. Splashes of green blood are depicted as enemies are struck/killed. Some female characters are designed with revealing outfits (e.g., deep cleavage) and slight breast-jiggling effects."
250,Willy Morgan and the Curse of Bone Town,"PlayStation 4, PlayStation 5, Nintendo Switch","Drug Reference,Mild Language,Mild Violence,Use of Tobacco",No Interactive Elements,No Rating Summary
251,Valkyrie Elysium,"Windows PC, PlayStation 4, PlayStation 5","Language,Violence",No Interactive Elements,"This is an action game in which players assume the role of a Valkyrie tasked with finding and purifying lost souls. From a third-person perspective, players explore environments and battle monsters, fellow Valkyries, and boss characters. Players use melee weapons (e.g., swords, spears) and elemental attacks (e.g., blasts of fire) to kill enemies in frenetic combat. Battles are highlighted by impact sounds, cries of pain, and explosions. One sequence depicts a character dramatically impaled by a spear. The word “sh*t” appears in the game."
252,Star Trek Prodigy: Supernova,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series",Fantasy Violence,No Interactive Elements,"This is an adventure game in which players control two explorers searching alien planets for missing crewmates. From a 3/4-overhead perspective, players explore environments while solving puzzles and fighting enemies. Players use melee weapons and blaster-like phasers to defeat robot enemies and boss characters. Combat is highlighted by futuristic gunfire, explosions, and dwindling life meters."
253,AI: THE SOMNIUM FILES - nirvanA Initiative,"PlayStation 4, Nintendo Switch, Xbox One","Blood,Strong Language,Suggestive Themes,Violence",No Interactive Elements,"This is an adventure game in which players help special agents investigate serial killings in a futuristic Tokyo. Players use an AI helper to investigate crime scenes and gain information through character interactions. Players can also engage in combat sequences against enemies, as on-screen prompts allow players to perform various actions (e.g., strikes, dodge attacks, targeting enemies) with laser pistols and pipes. Battles are highlighted by impact sounds, gunfire, and cries of pain. Some sequences depict additional acts of violence: a bound character tortured by a vice grip and electricity; enemies riddled by gunfire. A handful of sequences depict characters lying in pools of blood. Some female characters are designed with revealing outfits (e.g., deep cleavage) and jiggling breasts. The dialogue also references suggestive material (e.g., “Let's get groping,” “I have more of a chest than you”; “Yes, these are my big, milky balls.”). In one sequence, a character powers up with the words “porn mag power” after viewing an adult magazine. The words “f**k,” “sh*t,” and “a*shole” appear in the game."
254,Fire Emblem Warriors: Three Hopes,Nintendo Switch,"Alcohol Reference,Mild Suggestive Themes,Violence",No Interactive Elements,"This is a tactical-action game in which players can use characters from the Fire Emblem universe to engage in large-scale battles. From a third-person perspective, players use swords, spears, and arrows to defeat hordes of enemy soldiers and creatures (e.g., dragons, monsters). Battles can be frenetic, with frequent impact sounds, light effects, and cries of pain; players can also ride dragons that shoot fireballs at enemies. Cutscenes include further instances of violence (e.g., characters impaled by swords from behind). A handful of female characters are designed with low-cut outfits that reveal deep cleavage. Characters sometimes discuss drinking alcohol and/or being drunk (e.g., “What about booze? From what I understand, you're quite the drinker”; “But unlike you, I can actually hold my liquor.”)."
255,8Doors: Arum's Afterlife Adventure,Nintendo Switch,"Fantasy Violence,Use of Tobacco",No Interactive Elements,This is action-adventure game in which players help a girl search for her father's soul in purgatory. Players explore 2D platform levels while using a scythe to battle small ghostly creatures. Combat is highlighted by slashing effects and cries of pain; creatures disappear amid puffs of smoke when defeated. Boss battles depict more protracted combat with screen-shaking effects. One creature is depicted smoking a pipe.
256,Bloodshore,PlayStation 4,"Blood and Gore,Intense Violence,Strong Language,Suggestive Themes",No Interactive Elements,No Rating Summary
257,Sonic Origins,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",Mild Cartoon Violence,No Interactive Elements,"This is an action-platformer in which players assume the role of Sonic as he zooms around colorful zones and attempts to defeat Dr. Robotnik. As players speed through whimsical environments, they can jump on enemies' heads, causing them to transform into small creatures. Boss battles can depict cartoony bombs and explosions; Sonic reacts to damage by losing coin-like rings and falling off screen."
258,The Caligula Effect 2,Windows PC,"Blood,Language,Suggestive Themes,Use of Tobacco,Violence",No Interactive Elements,"This is a role-playing game in which players are summoned to a virtual world in which they must re-live their memories and regrets while battling futuristic enemies. As players interact with characters and follow the story, they engage in turn-based combat with cyborgs and virtual singers. Characters use guns, swords, grenades, and magic attacks to deplete enemies' health meters/hit points. Attack moves are highlighted by dramatic camera angles, explosions, and screen-shaking effects. Cutscenes depict further instances of violence and blood: characters being stabbed, pooling blood effects, bloodstains on characters' faces/clothing. The game contains some suggestive material in the dialogue/text (e.g., “I was lying when I accused you of sexually harassing me”; “skank”; ""Clean Breast Activated""); In one quest, a teacher asks player's help to defend him against a female student's sexual harassment allegations. During the course of the game, a character is sometimes shown smoking a cigarette. The words “sh*t” and “a*shole” can be heard in the game."
259,Clea: Complete Collection,"PlayStation 4, Nintendo Switch","Blood,Violence",No Interactive Elements,No Rating Summary
260,Rogue Spirit,Windows PC,Fantasy Violence,No Interactive Elements,"This is an action-adventure game in which players help the summoned ghost of a prince save his kingdom from demonic forces. Players traverse various landscapes (e.g., villages, forests), possess enemies' bodies, and use their skills/weapons to defeat various characters. Players use swords, spears, claws, bows, and throwing stars to battle soldiers and demons in frenetic, melee-style combat. Battles are accompanied by impact sounds and cries of pain; damage to enemies are indicated by depleting health bars."
